"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"WEEK 11 - Ladder Licence","Swim","","0.583333333333333","1700","2025-06-16","","700","","","","","0.255718889766269","0.75187969924812","","47","","","","","","0.745175906753412","10.58","","","","","","","","","","","","","","","","","","","","","",""
"2. 3×15 min @ FTP (6 min rest, upright)","Bike","","1.48333333333333","","2025-06-17","","12952.3203125","164","378","264.47","","0.429166674613953","8.38300037384033","","77","","126","158","","","0.725367373839845","21.93","25","2","0","0","0","0","0","","","","19","2","1","4","2","0","","","","","",""
"Easy + 5 Strides","Run","","0.666666666666667","8573","2025-06-17","","6770.669921875","","","","","0.669071137905121","2.81100010871887","","154","","146","158","","","0.633120527729364","29.43","35","5","0","0","0","0","0","","","","","","","","","","","","","","3","5"
"1. 5×3 min @ VO2 (3 min rest, upright)","Bike","","1.08333333333333","","2025-06-18","","32450.880859375","191","482","751.498","","1.0900000333786","8.26900005340576","","88","","139","181","","","0.856297893165596","79.15","42","13","6","5","0","0","0","","","","40","6","1","3","9","8","","","","","",""
"Easy","Run","140 - 150bpm","0.75","9360","2025-06-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Build a 3k","Swim","","1.25","3900","2025-06-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance progression","Run","60 - 20 - 10","1.5","19413","2025-06-19","","6442.16015625","","","","","0.676044702529907","2.6470000743866","","150","","146","169","","","0.604863759536428","27.14","33","6","1","0","0","0","0","","","","","","","","","","","","","","3","7"
"Keeping a low profile","Swim","","0.5","1500","2025-06-20","","1500","","","","","0.452441388765971","0.915192190359976","","52","","","","","","0.902511006888778","33.26","","","","","","","","","","","","","","","","","","","","","",""
"Abersoch Sprint Tri","Swim","","","750","2025-06-21","","910.649963378906","","","","","0.262777777777778","0.962632096595038","","30","","147","160","","","0.943379454663138","22.06","","","","","","","","","","","","","","","","","","","","","",""
"Abersoch Sprint Tri","Run","","","5000","2025-06-21","","4928.009765625","","","","","0.369444444444444","3.70527050046992","","164","","178","207","","","0.856238680212901","29.27","0","0","7","13","0","0","1","","","","","","","","","","","","","","",""
"Transition 1","Other","","","","2025-06-21","","165.280029296875","","","","","0.0322222222222222","1.42482783876616","","83","","135","144","","","0.626724173832944","1.29","","","","","","","","","","","","","","","","","","","","","",""
"Transition","Other","","","","2025-06-21","","59.939998626709","","","","","0.0125","1.33199996948242","","94","","164","166","","","0.849346701132302","0.35","","","","","","","","","","","","","","","","","","","","","",""
"Abersoch Sprint tri","Bike","","","20000","2025-06-21","","19219.2798461914","211","622","480.696","","0.631388888888889","8.45546847610709","","80","","","","","","0.870547949466062","47.16","","","","","","","","","","","10","5","7","8","5","4","","","","","",""
"Keeping a low profile","Swim","","0.5","1500","2025-06-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTP Test: 20 min upright position","Bike","","1.08333333333333","","2025-06-24","","31425.720703125","178","412","737.462","","1.14555549621582","7.61999988555908","","79","","140","182","","","0.830175935825935","78.47","49","5","5","11","0","0","0","","","","42","4","1","8","13","2","","","","","",""
