"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Q - santa dash","Run","","0.424166666666667","5000","2024-12-01","","3070.3701171875","","","","","0.417913347482681","2.04099988937378","","141","","129","151","","","0.491318989980704","10.93","25","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"V02 1.1","Bike","2 * [12 *(60/40)]","1.25","","2024-12-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Swim","","","1900","2024-12-02","","900","","","","","0.29206472184923","0.850661625708885","","54","","","","","","0.847414910068341","17.77","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","0.5","","2024-12-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q - Easy","Run","","0.720833333333333","8500","2024-12-03","","8514.3095703125","","","","","0.793026387691498","2.98200011253357","","161","","149","162","","","0.687992241012086","41.34","38","10","0","0","0","0","0","","","","","","","","","","","","","","",""
"Long Swim","Swim","","0.583055555555556","2000","2024-12-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","0.5","","2024-12-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Swim","","","2000","2024-12-05","","2200","","","","","0.652719721794128","0.928270042194093","","53","","","","","","0.926890945377043","51.98","","","","","","","","","","","","","","","","","","","","","",""
"Long Easy w/ 2*20 SS","Bike","1:55hrs 60-70% 2 *20min 88-94%","2.75","","2024-12-06","","61992.12109375","150","421","1546.933","","2.88240694999695","5.97399997711182","","76","","140","172","","","0.689211055731334","136.43","115","39","18","1","0","0","0","","","","75","40","36","18","4","1","","","","","",""
"Q - Long","Run","","1.1975","16000","2024-12-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q - Strides","Run","","0.717222222222222","8500","2024-12-07","","5499.9501953125","0","0","","","0.531666696071625","2.87299990653992","","158","","151","175","","","0.737744681493957","31.67","17","9","6","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - 50% in Makuri Islands","Bike","","","","2024-12-07","","4439.6201171875","125","304","100.005","","0.216111108660698","5.70599985122681","","77","","120","132","","","0.489270423812591","5.07","14","0","0","0","0","0","0","","","","14","0","0","0","0","0","","","","","",""
"Swim","Swim","","0.666666666666667","2100","2024-12-09","","2050","","","","","0.659509167141385","0.860982780344393","","54","","","","","","0.854802371350729","41.19","","","","","","","","","","","","","","","","","","","","","",""
"Q - Easy","Run","","","8500","2024-12-09","","8519.7001953125","","","","","0.89957720041275","2.63100004196167","","153","","147","162","","","0.63532368008272","40.11","44","10","0","0","0","0","0","","","","","","","","","","","","","","",""
"3 *12min thr","Bike","","1.5","","2024-12-10","","40623.41015625","200","348","904.886","","1.25416672229767","8.99699974060059","","85","","148","175","","","0.843287033719289","88.61","37","12","16","11","0","0","0","","","","23","15","6","25","7","0","","","","","",""
"2 * 25min SS","Bike","2 *25min 88-94%","1.5","","2024-12-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q - Strides","Run","","0.758888888888889","9000","2024-12-11","","8508.6904296875","","","","","0.802156925201416","2.94600009918213","","150","","146","170","","","0.696016736101034","42.81","36","12","1","0","0","0","0","","","","","","","","","","","","","","",""
"V02 1.2","Bike","3 * [6 *(75/30)]","1.25","","2024-12-12","","27828.439453125","166","386","605.594","","1.01448833942413","7.61899995803833","","81","","132","170","","","0.757320218643627","57.48","48","8","4","0","0","0","0","","","","32","18","2","1","6","3","","","","","",""
"Swim","Swim","","0.666666666666667","2100","2024-12-12","","1550","","","","","0.45138722313775","0.943970767356882","","56","","","","","","0.944311177079821","38.01","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Race: 3R Racing (C) on Beach Island Loop in Watopia","Bike","","","","2024-12-13","","26216.560546875","238","638","581.462","","0.678333342075348","10.7349996566772","","88","","163","189","","","0.9989078238727","66.93","1","18","15","5","2","0","0","","","","3","6","14","9","4","6","","","","","",""
"Zwift - Volcano Circuit in Watopia","Bike","","","","2024-12-13","","5656.8701171875","72","208","66.448","","0.254444450139999","6.17500019073486","","68","","129","152","","","0.324369559784486","2.59","15","0","0","0","0","0","0","","","","15","0","0","0","0","0","","","","","",""
"Lap Swimming","Swim","","","","2024-12-14","","25","","","","","0.00301444451014201","2.27272727272727","","42","","","","","","2.28068553820423","3.58","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-14","","2000","","","","","0.608959165679084","0.904977375565611","","54","","","","","","0.903180428176436","44.87","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2024-12-15","","4239.6201171875","","","","","0.384334981441498","3.06399989128113","","","","109","154","","","0.57901940406959","13.96","22","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Classique in London with Miguel","Bike","","","","2024-12-16","","16694.080078125","127","228","231.478","","0.50555557012558","9.17199993133545","","75","","120","139","","","0.504212076316604","12.63","30","0","0","0","0","0","0","","","","27","3","0","0","0","0","","","","","",""
"Zwift - Zwift Camp: Baseline | Sprint Booster on Mayan Mash in Watopia","Bike","","","","2024-12-17","","27234.73046875","159","704","542.188","","0.935833334922791","8.08300018310547","","77","","135","175","","","0.817970516996483","62.13","47","9","2","0","0","0","0","","","","42","10","1","1","1","4","","","","","",""
"Zwift - 5K Loop in Watopia","Run","","","","2024-12-17","","4048.55004882813","0","0","","","0.360277771949768","3.12100005149841","","158","","142","153","","","0.49543943124895","14.24","32","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Flat Route in Watopia with Maria","Bike","","","","2024-12-18","","35768.390625","169","352","619.776","","1.0183333158493","9.75599956512451","","77","","127","144","","","0.675959871516607","46.21","61","0","0","0","0","0","0","","","","17","33","9","2","0","0","","","","","",""
"Zwift - Champs-Élysées Run in Paris","Run","","","","2024-12-18","","5525.16015625","0","0","","","0.498333334922791","3.0789999961853","","158","","135","159","","","0.727491676787664","37.55","35","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-18","","1450","","","","","0.397538333468967","1.00276625172891","","56","","","","","","1.00304792375734","40.12","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-20","","2225","","","","","0.689136108027564","0.89","","56","","","","","","0.887887012264239","48.24","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Miguel","Bike","","","","2024-12-20","","32877.9609375","128","352","465.998","","1.00416672229767","9.0939998626709","","73","","120","138","","","0.516407326247703","26.59","60","0","0","0","0","0","0","","","","51","7","2","0","0","0","","","","","",""
