"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Easy Run","Run","or 155-165bpm","0.5","5600","2025-04-01","","2513.3701171875","","","","","0.2244683355093","3.10999989509583","","160","","141","154","","","0.710459053826131","12.07","13","0","0","0","0","0","0","","","","","","","","","","","","","","2","7"
"Slateman Recce (just decided to go for goal rp)","Bike","","3","","2025-04-01","","90197.03125","210","565","2547.913","","3.38848924636841","7.39400005340576","","85","","152","169","","","0.812541332709486","222.87","44","140","20","0","0","0","0","","","","31","41","73","49","11","3","","","","","",""
"2. Love to pull","Swim","","0.75","2200","2025-04-02","","2200","","","","","0.600814447402954","1.01195952161914","","53","","","","","","1.00696646463003","61.35","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run","Run","or 155-165bpm","0.666666666666667","7467","2025-04-03","","5221.4599609375","","","","","0.503336668014526","2.88199996948242","","162","","150","159","","","0.658237962601458","23.77","21","9","0","0","0","0","0","","","","","","","","","","","","","","3","5"
"3. Swimming upstream","Swim","","0.75","2400","2025-04-04","","2400","","","","","0.69118499967787","0.958083832335329","","53","","","","","","0.954881833818147","60.18","","","","","","","","","","","","","","","","","","","","","",""
"Easy Maria Pace Partner","Bike","","1.25","","2025-04-04","","39406.46875","177","310","808.224","","1.2591667175293","8.69299983978271","","81","","125","139","","","0.654870885889401","53.45","77","0","0","0","0","0","0","","","","16","57","5","0","0","0","","","","","",""
"Yoga","Other","","","","2025-04-04","","","","","","","0.222043335437775","","","","","101","127","","","0.582587140860661","8.04","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run","Run","or 155-165bpm","1.07138888888889","12000","2025-04-05","","12039.669921875","","","","","1.0702143907547","3.125","","163","","146","158","","","0.716319571732984","60.94","55","9","0","0","0","0","0","","","","","","","","","","","","","","3","7"
"Easy Maria Pace Partner","Bike","","1.25","","2025-04-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. R&R","Swim","","0.5","1500","2025-04-07","","1500","","","","","0.447699168523153","0.923645320197044","","53","","","","","","0.921377632575763","35.02","","","","","","","","","","","","","","","","","","","","","",""
"aero testing","Bike","220w target","2.38333333333333","","2025-04-08","","56554.94921875","167","561","1227.351","","2.04621720314026","7.67700004577637","","84","","125","146","","","0.720533344656774","105.75","123","0","0","0","0","0","0","","","","42","15","60","6","0","0","","","","","",""
"Easy Run","Run","or 155-165bpm","0.583333333333333","6533","2025-04-08","","6467.509765625","","","","","0.585817217826843","3.06699991226196","","160","","151","168","","","0.699041767927116","31.31","20","14","1","0","0","0","0","","","","","","","","","","","","","","3","5"
"2. Focus on your length","Swim","","0.666666666666667","2200","2025-04-09","","700","","","","","0.219053057564629","0.87719298245614","","51","","","","","","0.878782529402516","14.87","","","","","","","","","","","","","","","","","","","","","",""
"Endurance Ride","Bike","","1","","2025-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run","Run","or 155-165bpm","1.25","14000","2025-04-10","","14037.990234375","","","","","1.2772810459137","3.05299997329712","","162","","158","168","","","0.696302644075358","69.04","13","61","2","0","0","0","0","","","","","","","","","","","","","","3","3"
"1. Catch and Push","Swim","","0.75","2200","2025-04-14","","2200","","","","","0.702705554697249","0.869654590071371","","51","","","","","","0.851174430032354","43.33","","","","","","","","","","","","","","","","","","","","","",""
"4 * 3min","Bike","","1.03333333333333","","2025-04-15","","24461.66015625","162","410","457.986"," *15/04/2025 Adam Moore: didnt do the workout did planned the progression after*","0.760296106338501","8.9370002746582","","76","","135","167","","","0.715062134686851","38.69","37","8","3","0","0","0","0","","","","32","5","3","5","2","1","","","","","",""
"Yoga","Other","","","","2025-04-15","","","","","","","0.301943063735962","","","","","90","115","","","0.550051172825444","9.82","","","","","","","","","","","","","","","","","","","","","",""
"2. Tortoise and the hare","Swim","","0.833333333333333","2400","2025-04-16","","2400","","","","","0.755512224303352","0.876552227903579","","52","","","","","","0.873579511712835","50.37","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run","Run","or 155-165bpm","0.666666666666667","7467","2025-04-16","","6804.35986328125","","","","","0.670664727687836","2.81800007820129","","158","","148","175","","","0.632958927786682","29.48","33","5","2","0","0","0","0","","","","","","","","","","","","","","3","7"
"3 * 10 min SS","Bike","","1.25","","2025-04-17","","35570.58984375","186","396","843.106","","1.25472223758698","7.87400007247925","","86","","138","166","","","0.771844190103518","74.28","47","21","7","0","0","0","0","","","","39","3","12","20","2","1","","","","","3","5"
"Yoga","Other","","","","2025-04-17","","","","","","","0.208791390061378","","","","","95","114","","","0.566455246523805","7.14","","","","","","","","","","","","","","","","","","","","","",""
"3. Balancing Act","Swim","","0.666666666666667","2200","2025-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Progression run to HM","Run","or 155-165bpm","0.607777777777778","8000","2025-04-18","","","","",""," *18/04/2025 Adam Moore: shins were not complying with the normal*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
